Name,Guild,Race,Total Level,Items
Aurilen,,Elf Female,0,
Cloudstryfes,Gizzie,Human Female,60203,
Idolsyndrome,Onlynyans,Human Female,24428,
Korokorosu,Available,Elf Female,50475,
Gremurin,Lost,Elf Female,55209,
Visacard,Valencia,Giant Male,93685,
Satonari,,Human Male,60314,
Alpacario,,Elf Male,0,
highcaster,,Human Female,27700,
MARK423,Asesinos,Human Male,25518,
OAKSHU,,Human Female,27400,
Sanaki,Slayers,Human Female,87401,
crazydonkey,Chai,Human Male,65307,
lmpossible,Melatonin,Human Male,21503,
Frozensnek,Goodmorning,Giant Female,59960,19407
Natsumi,Juice,Human Female,75075,
Yuksek,Meowlettians,Human Male,33443,
Juvia22,Optimates,Human Female,48608,
Bigcherryboy,,Giant Male,15024,
Sezero,Malicious,Human Male,40759,
Clownette,Rikka,Human Female,25408,
Aimihana,Hildred,Human Female,82564,
Kazu,,Human Female,126610,
Asileia,Wanderlan,Elf Female,51669,
Yuzukiio,Moriya,Elf Female,64224,
Annatrinity,Witchery,Elf Female,56063,
Terrinthia+Tarlach,,Elf Female,14826,
Urzai,Archive,Human Female,53747,
Themanse,Hybridtheory,Giant Male,42186,
WHOAMIAGAINN,,Human Male,240,
Tinyoverlord,Grumbills,Elf Female,22149,
Sabisana,,Elf Male,23017,
Faauh,,Elf Female,22769,
Bunnulord,Motion,Elf Female,66815,
Renessa,Wintervale,Human Female,101571,
Sakuraq,,Elf Female,0,
HBA,Fillia,Elf Male,35952,
Ibert5,Godhand,Human Male,22940,
elfironical,Valencia,Elf Female,47311,
Endminchan,Cwiar,Human Female,22080,
Bottenagain,Severe,Human Female,27320,
Nia,Vanquisher,Human Female,48579,
xdarkshot,Peace,Human Male,94172,
Listia,Volkite,Human Female,54216,
Hasii,,Giant Female,60800,
Yonghengsora,,Human Female,2687,
Mason11,Alcohol,Human Male,68171,19406;41233
Ampert,,Human Male,35228,
Jodiroski,,Human Male,28470,
Neriav,Vongola,Human Female,31376,
Kylian,Available,Elf Male,22673,
Pucherito,Wander,Human Female,59167,
Kymmia,Fateless,Human Female,30997,
Keiko45,,Human Female,20442,
Techer,Voidal,Human Male,21407,
huntrj,Mabinoobi,Human Male,68126,19406;1060011
Traumacore,Eloquent,Human Male,48188,
Pipes,Occult,Human Female,28934,
Arjelyn,Quiet,Human Female,54925,
Caitrionna,,Human Female,0,
Hilunacy,Ponder,Human Female,76767,
Ashi,Mazoku,Human Female,103400,
Daeire,Transcend,Human Female,53645,
Helios,Juice,Human Male,54745,
aabbhuman,Noctis,Human Male,42552,
Aereonia,Niflhel,Elf Female,52035,
Kanamiina,,Human Female,50364,
Aluminar,Boundaries,Human Male,65056,
Kirapurple,,Human Female,23424,
Sapphirerosa,Platinum,Human Female,72246,
Reggire,Optimates,Giant Male,45531,
Boopscoop42,,Human Female,22925,
Genkione,Goodmorning,Giant Female,60790,
Takajuju,Sword,Human Male,44228,
Parizu,Palmetto,Human Female,65671,
Blankity,Severe,Human Male,23794,
Kuroihisame,Hasenfeewald,Elf Male,88032,
Alcase,Grumbills,Human Female,60694,
Ruin,Blossom,Human Female,44924,
Xenaro,,Giant Male,0,
Klancain,Epoch,Human Male,23133,
hexcaster,,Elf Female,34400,
Minaxcrowe,Ursa,Human Female,82831,
Sinclarity,Andromeda,Elf Male,4163,
Maelstorm,Sword,Human Male,132344,
Engray,Vanquisher,Elf Male,65397,
Ribey,Somnus,Human Female,76104,
Meguwhale,,Human Male,1935,
Slow+Alexina,Goodmorning,Giant Female,46373,
Lilfelix,,Human Male,0,
Sotty,,Elf Female,21728,
Worst,,Elf Male,24673,
Oshientia,Selkies,Elf Female,32386,
Quartzenl,,Elf Female,20476,
Kii,Peace,Human Female,23971,
Eidolion,Endowed,Human Female,47328,
Kolgan,Wander,Giant Female,72300,
Makiyaki,Profound,Human Female,39338,
Fuanatis,Deadlnside,Giant Male,75744,
Yamikaijin,Daydream,Human Female,59649,
Rin,Mood,Human Female,58564,
Avsg,Lost,Human Female,70316,
kevinsaozita,Lost,Elf Female,54860,
mklmklmklmkl,Selkies,Human Female,28659,
Destroyfist,Lost,Human Male,90087,
Reif,Wellspring,Elf Male,49572,
Clextrol,Solarium,Human Male,85749,
Defience,Alliances,Elf Female,57317,
Misspoofie,Dollhouse,Human Female,102049,
Keldari,Eradicate,Giant Male,47093,
Kingomori,Omoriholic,Human Male,84301,
Kairia,Chevaliers,Human Female,56837,
Kiariku,,Human Female,0,
Bluyu,GRUMPY,Elf Female,53582,
Izzytizzles,,Elf Female,35224,
Mafuyukun,,Human Female,0,
Aroshixx,,Human Female,43920,
Siedz,Mabigen,Giant Male,47491,
Chrissan,Cannoli,Human Female,43358,
Suisenseki,,Human Male,54083,
Scherrie,,Human Female,8854,
Uchiki,Mabigen,Human Male,30752,
Vortant,BBparadise,Human Male,22576,
Beleren,Havens,Elf Female,125500,19407
Eddy101,Guild101,Human Male,57377,
Garlano,AOGIRI,Giant Male,24226,
Halloween,Nakamas,Human Male,50939,
souleater100,Severe,Human Male,34853,
Kaidai+Alexina,,Elf Female,31853,
Raialters,Pastels,Elf Female,52086,
Alicezu,,Elf Female,0,
Hasalia,,Elf Female,49,
Kenzie,Fishmongers,Human Female,58592,
Lyslaine,Unreliable,Human Female,58142,
Rioghain3,Bunnies,Human Male,43826,
Syel,,Human Male,37284,
Redcultist,Kilconriola,Elf Male,27892,
Dezaray,Exodusrising,Human Female,51804,
Shinschescal,Fillia,Human Female,42470,
Ablazia,,Human Female,23863,
Stormmblesed,Motion,Giant Male,48254,
lilentjoker,Juice,Human Male,69145,
Ministella,Shenanigans,Human Female,58733,
Shiki,Oekaki,Human Male,79287,
Aruhigeki,Blood,Human Male,43913,
Carly,Goodmorning,Human Female,66533,19407
Scizox,Transcend,Elf Female,91731,
Zaw,Transcend,Human Male,49430,
Cyril0321,Visions,Human Female,89241,
Ronnieisme,,Elf Male,0,
Yuqi,Visions,Human Female,79436,
Lustveil,Breakfast,Human Female,71015,
Jordanred,Aulung,Human Male,57073,
Zephiris,,Human Male,53061,
Issa,Infrachamps,Human Female,91611,
Numbers,,Human Female,35422,
Shokushuko,Darkroses,Giant Female,32305,
Risks,BUFF,Human Male,75023,
Hadako,,Human Female,26073,
stek,thorny,Giant Female,59982,
thejuicey,Looters,Elf Male,5768,
Laken,Slayer,Human Female,48788,
Showo,Eradicate,Human Male,87553,
senlinb1123,Valkyrie,Giant Female,21361,
Brahfizzle,Juice,Human Male,84085,19406
Rickice,Fillia,Human Male,74818,
Beraie,BIGGESTGIGAS,Human Female,52102,
Dean83,Exodusrising,Human Male,11838,
Ayamepassaro,RF72,Human Female,42782,
bigd617,,Human Male,21147,
changges,,Elf Female,20019,
Ayakakio,Wesh,Human Female,51938,
Companion,Blossom,Elf Female,65905,
bobbyhill,,Human Male,2500,
Kuromaki,,Elf Male,34731,
hgftr43,,Elf Female,251,
Jiemeiok,,Human Female,10,
neropanther,Motion,Human Male,52236,
jackijones,,Human Male,21715,
Asrah,Rosinae,Human Female,59300,
Goldwing,Goodmorning,Human Male,74678,19406
Icenet,,Human Male,48006,
Doctorpok,Lame,Human Male,47779,
Vividity,Projectmoon,Elf Female,62518,
Stamppot,,Human Female,20476,
Lumineh,Chopsticks,Human Female,54351,
Tsunayoshi7,Niflhel,Human Male,33115,
Sabel,,Elf Female,30019,
Pessyi,Severe,Human Male,47009,
EXceet,Available,Elf Male,55762,
Cloudstellar,Delirium,Human Female,55500,
Mercykill+Ruairi,,Human Female,29864,
Ochs,,Human Male,80332,
Snackthief,,Human Male,74028,
Zaccai,Motion,Human Male,55070,
Akaidrago,Meowlettians,Human Male,47165,
ORION86,Suicidedolls,Elf Female,73824,
Galurre,Landsbetween,Human Female,33134,
elfmaster78,Astarum,Elf Female,46086,
Noriko,Minecraft,Elf Female,57526,
Kibee,Lost,Elf Female,65038,
THEHULK+Mari,Loners,Human Male,22381,
Zerommx,,Elf Male,8860,
Janicea,Troopguild,Human Female,33305,
Maebeline,Motion,Elf Female,52207,
Dargum,Rememberance,Giant Female,52605,
Nosoywexas,,Giant Male,23023,
Berettaberry,BUFF,Human Female,59048,
Eshbon,Lightning,Human Male,59713,
Kaoruchi,Miracles,Elf Male,40402,
Qhinn,,Elf Male,26208,
Kauni,Prudentia,Human Female,67198,
Odyelf,,Elf Male,40987,
Oomasi,Goodmorning,Elf Female,57702,1420006;19407
Zekielnadim,Forgottenfew,Human Male,63633,
Tooneyslave,Wander,Human Male,48271,
Juelisa,Ponder,Human Female,91697,
Rosered,ICRKI,Elf Female,48422,
Maqueni,Mabigen,Elf Female,2827,
Sho3,,Human Female,0,
Gearsoo,COGs,Human Female,24902,
Rosary,Deardrops,Elf Female,45507,
Gellatina,Lost,Elf Female,53146,
Onjah,Australians,Giant Male,28731,
Abysfrost,Goodmorning,Elf Female,60744,19407
Gentaro,BUFF,Human Male,57897,
Arlena,Cowabunga,Human Female,45402,
Skulloftrust,Hollow,Giant Male,46760,
Steffanieann,Dinner,Human Female,76358,
Plureon,Kirin,Human Male,128180,
Ruiyuka,,Human Female,35096,
Draizer+Mari,,Human Male,56682,
Selianth,Slayer,Elf Female,34102,
Huhnd,,Elf Male,5015,
kkz9203,Peace,Human Female,73232,
lamida,Delirium,Human Male,65263,
Hraesvelgr,Dungeon,Human Female,48290,
Yuminaraku,,Human Female,0,
Ceilidhe,,Human Female,0,
Riwer,Folia,Human Female,58046,
Junghyung,Fatesknights,Human Male,8625,
animegeek20,Audicia,Human Female,51791,
ORIGINSFURY,Nessus,Human Male,108818,
Malcontent,Juice,Elf Female,48787,
mattyyr,Kitsuneflame,Elf Female,47870,
Kejukagi,,Human Female,65985,
Gunlys,,Elf Female,24851,
Visula+Ruairi,ICRKI,Giant Female,12419,
Salini,Zenko,Human Female,35323,
Dashz2,Zoltraak,Human Male,68256,
fireninja520,,Giant Male,20145,
Rosanoire,Takingover,Human Female,69587,
Baygoll,,Giant Male,688,
Mrdrkyle,Motion,Human Male,54935,
Kyousukev,Soju,Human Male,42939,
Moocid,Greatlrinid,Elf Female,47533,
Hespacia,,Human Female,46227,
Curassow,,Elf Male,20476,
Athiria,,Human Female,55015,
Sinis,,Elf Female,2000,
Stingkun+Alexina,Fomorian,Human Male,28029,
Dannya,Motion,Human Male,43030,
Guiltynight,Niflhel,Elf Female,51129,
Pikkoo,Rainconquest,Human Female,23973,
Farsela,Nobilis,Human Female,45633,
bobacco,Eggie,Human Female,144988,19407;1270029
sturgeonroe,,Human Female,23460,
eiskdon,,Human Female,0,
Haloprinter,Glenn,Giant Female,33915,
jimderringer,,Human Male,1397,
Salato,Mabigen,Giant Female,52339,
kabe+Ruairi,Motion,Human Female,52636,
Eydin,,Elf Male,1620,
Kitkatmow,Shenanigans,Elf Female,62876,
Thorvik,Tsukimichi,Human Male,120800,19406
Tyraell+Ruairi,Severe,Human Male,34826,
Grimlox,Frens,Human Female,25043,
Spectroman,Unreliable,Human Male,68675,
Baykol,,Human Female,692,
Shawnyboii,Dinner,Human Male,51705,
Hosiyomi,Valencia,Human Male,72039,
Aenexian,Vulneq,Human Female,21652,
Aaeres,Fortuna,Human Male,47115,
Gallos+Mari,Severe,Human Male,57713,
breia,,Human Female,0,
Effereal,Eunoia,Human Male,51236,
Kaioseina,Diasomnia,Human Female,54971,
lokky+Tarlach,,Human Male,20743,
jumpingflash,Isekai,Human Female,4067,
natn,Wander,Human Male,60860,
Leovariant,Sword,Giant Female,84549,
Sunnymiri,Shakari,Human Female,26878,
hojichacco,Oekaki,Elf Female,41643,
Nirvana,Shakari,Human Female,21162,
Sutokkingu,Feywild,Giant Female,51663,
Marintortuga,,Human Female,32753,
Inkeizoudai,Frens,Giant Male,55524,
tyloreal,Gucci,Human Male,8850,
Fynnidemon,Manabeasts,Elf Male,134,
Loveness,Goodmorning,Human Female,74653,
Siouxiesioux,Estelle,Human Female,59703,
Evilpooka,Ponder,Human Male,64131,
Neogblaze,Frosty,Human Male,48645,
Middi,Kampfers,Human Female,66610,
Tartaryx,,Elf Male,34593,
Aohikari,Mineffort,Human Male,18402,
Eilonwyllyr,,Elf Female,66021,
Speculate+Ruairi,Motion,Human Male,69656,
Colissa,,Human Female,42769,
Botty,Eradicate,Elf Female,53625,
Uracca,Motion,Human Male,59883,
Sakayomi,,Human Female,38944,
Sgiathach+Alexina,Antihero,Human Male,99460,
kimikotanaka+Alexina,Wilnas,Human Female,11041,
ketaminn,Motion,Human Female,42439,
Myaeki,,Human Male,22730,
Stoaty,Asterism,Human Female,24309,
yonmi,,Elf Female,0,
Mekutu,Sleep,Human Female,69411,19407;1270029
Fulishia,,Elf Female,34499,
Jimoon,,Elf Female,41406,
tubtub991,Visions,Human Female,90580,19407
Snappdragon,Noctis,Human Male,31835,
Moonrises,Hershey,Human Female,52777,
Delsenpai,,Human Female,21913,
Oppress,Severe,Giant Male,52729,
mikix2,Amanecer,Human Male,28545,
Tarzal,,Human Male,24404,
Slate,Wander,Giant Male,56661,
Jazerel,MCLENDON,Human Male,41971,
Traza7,,Human Female,0,
Filianoir,Dreamfall,Human Female,26007,
Angelingz,Smallpotato,Human Female,91,
Elainora,Luxubu,Human Female,82768,
KRHuman,Eggie,Human Male,29804,
Naukri,Hiraeth,Elf Male,41224,
XTOSBREAKERX,Havens,Human Male,44437,
Kokich1,Looters,Human Male,25343,
momijipiesen,,Giant Female,20081,
Jonguu,Regal,Elf Female,51783,
Eunpa,,Human Male,0,
Narghula,Dragonden,Human Female,66874,
Saibooboo,Discord,Human Male,5152,
Leviathanel,Oppailovers,Human Male,21086,
Syndicator,Vanquisher,Elf Male,64174,19406
Soratosa,,Elf Male,0,
Charmout,Ursa,Human Female,63542,
Kintwoo,,Elf Male,0,
Kauden,Motion,Giant Male,41819,
Ryoko2,Valynthearts,Elf Female,53751,
Icysoulwolf,Capulet,Human Male,26831,
Holyknight85+Alexina,Eggie,Human Male,26597,
Scarletblade,Chaosdragons,Human Male,77000,
Zengy,Juice,Human Male,76925,
Daya,Transcend,Human Female,70447,
Amarok,Cakes,Human Male,63152,
Luxeon,Inquisitors,Elf Female,47246,
Smilyovo,Smileparty,Human Female,59429,
Bumbybee,,Human Female,41958,
ardure,Freesia,Human Female,72855,
Halospawner,Glenn,Elf Female,20692,
Ciovaen,,Elf Female,18142,
lin10,,Human Female,48032,
Crimson,Severe,Human Female,70925,
Pace,,Giant Male,69869,
Saibanwo,,Elf Female,0,
tatortott212,Frens,Human Male,24328,
Shanaela,,Human Female,0,
Viorelle,Hildred,Human Female,114808,
Agamotto,Optimates,Human Female,38516,
Hyaku,Vsekai,Human Male,42826,
Chise,Nakama,Human Female,64395,
Hungryforbme,Vsekai2,Giant Female,21008,
Zeigh,Prince,Human Male,53715,
Yukiyamasaki,Aqours,Human Female,5792,
Tamiiko+Mari,Alliances,Human Female,115,
Uza,Wander,Human Male,81661,
Hikaya,,Human Female,54413,
Antyox,Wander,Elf Female,43780,
Gwannyy,,Giant Female,0,
Emetti,,Human Female,7230,
klift,Arms,Human Male,62040,
Koyomix,,Giant Male,0,
Skarellow,Peace,Giant Male,59665,
Kiret,Kilconriola,Human Male,65100,
Yux,Lost,Human Male,141406,
Prescott,Motion,Giant Male,25964,
Melangell,,Human Female,66591,
briomaster,Eggie,Human Male,47228,
knightone,Juice,Human Male,94554,
Meyki,Aesir,Human Female,67238,
Mirukumiho,Niflhel,Human Female,34488,
Eoryu,Labor,Human Male,52482,
xrossx,Drowsy,Elf Male,64045,19406
Slimjim45,RF72,Human Male,11885,
Fhrest,,Elf Female,1347,
Kiaana,,Human Female,22064,
Cookeh,Mahou,Giant Female,36872,
Giganteneve,KAMINARI,Giant Male,25932,
Kerisul,Goodmorning,Human Male,70299,
Sylphiea,Kampfers,Elf Female,64523,
chrisflame,Sparta,Human Male,83341,
Elsippycup,,Human Male,0,
Ravagne,Prophet,Elf Male,64613,
Captainpepe,,Human Female,423,
Nicholistone,Succ,Human Male,25278,
Mugisolstice,Alliances,Human Female,22981,
Kanae,,Human Female,33987,
pommiizz,Isekai,Human Male,26785,
Haewol,,Elf Male,21155,
halo,,Human Female,72415,19407
Castielwinch,Xaaci,Elf Female,24602,
Telossa,,Giant Female,2789,
Dreqmkitty,illusia,Human Female,61988,
kitxy,Gothic,Elf Female,55694,
Minameri,Isekai,Elf Female,22084,
Angeluci,MOSS,Human Female,70599,
susake,Laughtale,Human Male,62681,
hyperzack,Terrasen,Human Male,23388,
ineffable+Mari,Eien,Human Male,97720,
Okasasagi,,Elf Female,0,
venroe,Laziness,Human Male,35828,
Martelen,Dinner,Human Female,100338,
AIcyones,Oracion,Human Female,124399,
shansu,Vanquisher,Human Male,43739,
Izumi,Asleep,Elf Female,39586,
Goddess,Huntrix,Elf Female,78047,
IRoccia,Imperator,Human Female,41915,
Luriemili,Arkadia,Elf Female,57191,
dtomato,Wackusbonkus,Human Male,76033,
Kyirarin,Glitter,Human Female,51892,
Someonenot,,Human Male,22754,
Deirdre,,Human Male,0,
Encaltaccoun,,Giant Male,22168,
Ulrof,Cozycrew,Giant Male,40635,
BIGCHUNGNZ,,Giant Male,0,
Straywind,,Elf Male,23843,
ishikawaii,Arms,Human Male,50715,
Tedey,Sleep,Elf Male,58771,19406
Violetteso,,Giant Female,55,
Kevinz1,Freesia,Elf Male,41794,
Kariwolfgang,,Human Female,9848,
Cinel,Palmetto,Human Male,21889,
eimiisami,Phase,Human Female,33457,
Cheshire,Goodmorning,Elf Male,119200,19406;19406
Keebo,Oekaki,Human Male,74676,1000059;19406;3100003
Ziggins,Endowed,Elf Female,55538,
Kalxbroc,Ballad,Human Male,46995,
Veah,Transcend,Elf Female,28390,
Pekkhum,Anfarwol,Elf Female,43106,
Khaine,Wander,Human Male,87049,
Emotichan,Eternals,Elf Female,46445,
Luscinius,,Elf Female,53454,
Christaalter,Medrilynne,Elf Female,58896,
fartsicle,Harajuku,Human Female,32134,
Daaya,,Human Female,0,
Sylphspire,FORCE,Elf Male,62969,
foxbat+Alexina,,Human Male,0,
Knight,Severe,Human Male,85065,3100003;3100003;19406;1000059;19406;1000059
Yurine,Carcosa,Elf Female,51759,
alsayan,Drive,Human Male,52887,
Sterilize,Breakfast,Elf Female,68427,
Goktin,Poverty,Human Male,61292,
Malcoven,,Human Male,12,
Pinegrove,Kirin,Human Male,53718,
Nanthaleine,Moosh,Elf Female,60199,
Pinkaholic,Fateless,Human Female,51211,
Terumii+Tarlach,,Elf Female,6016,
Chocoyookie,Kirin,Human Male,30535,
oogaad,,Human Male,23302,
unoenkoe,Kismet,Human Female,70819,
Kohaki,Oekaki,Human Male,67750,
Arctsumi,,Elf Female,0,
Firestorm88+Alexina,Spectranovea,Elf Female,27324,
Freshblood,,Human Female,2764,
Moraxe,Astarius,Human Male,71463,
Ginosonn,Fateless,Human Male,58295,
Laaiin,,Human Female,449,
Cioccolato,Aerouant,Human Female,43281,
Zeralus,Silveryokai,Human Male,60664,
Lotteri,,Giant Male,42742,
Snowrosepop,,Elf Female,8616,
Fluffyx,Goodmorning,Human Female,53238,
Sorrin,Opulent,Elf Female,59775,
Veewolf,,Human Male,0,
Mumpack,Pepper,Giant Female,411,
Nanadollz,Australians,Human Female,59451,
lilintrovert,,Human Female,57490,
horiya,Ponder,Human Female,20476,
Kityana,Havens,Elf Female,40384,
Narutoviz,Peace,Human Male,58768,
ANAKINVADER,,Giant Male,0,
Spearemint,Solarium,Human Female,51654,
Lovelystacey,superdooper,Giant Female,2022,
Avancer,,Human Male,0,
Ivsinn,Minecraft,Human Female,108931,
Dilinaer,Alliances,Human Female,26231,
Sweetluka123,Kitsuneflame,Human Female,58996,
Sunnymango,Shenanigans,Elf Female,100605,
Smatchy,Haniwa,Human Female,79412,1230039;19407
Miryng,,Human Male,22919,
miie,Unsure,Elf Female,60024,
Onai,Goodmorning,Human Female,56622,
Shrade,Vsekai,Human Male,109212,19406
Lunaeri,Honeybun,Human Female,40249,
Shakaya,Capulet,Human Female,54306,
Azur01,,Human Male,46915,
Xtrina,,Giant Female,21774,
Envious2,Valynthearts,Human Male,48172,
sageofdark,Eradicate,Human Male,116452,
arturoalex,Amsiedad,Human Male,60885,
AMARAZ,,Elf Female,0,
Stickypackz,Isekai,Giant Male,26454,
Arsrs427,Revenants,Human Male,36305,
Lilliumlilly,,Human Female,20047,
Felipe94,Optimates,Human Male,23228,
Sennabuns,Pastels,Human Female,91606,
Temenous,Blacktea,Elf Male,28521,
cosmin22,Motion,Giant Male,54861,
ladygander,,Human Female,1,
Seed,,Human Female,49650,
LBTFuze,Arms,Human Male,33505,
Godisalexis,Visions,Human Female,47561,
King,Sovereignty,Human Male,105994,19406
Rubyredlips,Chess,Human Female,28503,
nelexotic,Arkadia,Human Male,43156,
Haila+Alexina,,Human Female,0,
Ellazar,lnsane,Human Male,58504,
Suiendo,Truth,Elf Male,61628,
mercuryice,,Human Female,40281,
Clarissabell,Zenko,Elf Female,54173,
funkie,Vsekai,Human Female,27267,
Ceterra,,Human Male,67158,
Micardo,,Human Female,48026,
Lofropund,,Elf Male,20163,
Sundae,Solitaire,Human Male,61033,
Aessia,Isekai,Human Female,2056,
Arkaes,,Human Male,24619,
Yuukkiko,Kivotos,Human Female,22423,
Forestsiren,Hybridtheory,Elf Female,23502,
Xanesh,Banjo,Human Male,31088,
Caliste,Science,Elf Female,51150,
Angelopao,Juice,Human Male,61326,
Yoshiharuu,Doujin,Human Female,52105,
Tracechan+Tarlach,Kitsunetsuki,Human Female,6705,
Hatsuu,Victoria,Human Female,63060,
Dodorin,Luxubu,Giant Female,22728,
shortshot,Takingover,Elf Male,24110,
Toshika+Alexina,Lost,Human Male,23679,
Kinsen,Heros,Human Male,43962,
Pikarue,Miata,Human Female,56354,
Lucario,Fenith,Human Male,117500,
ashes2,Shenanigans,Human Female,38787,
Trident,Severe,Human Male,66100,
Eliuvito,,Human Male,0,
Elquineth,Shenanigans,Elf Female,51043,
Gothicuttie,,Human Female,12576,
Hirune,,Human Female,24673,
Chigasaki,JSDF,Giant Male,43449,
Seraphyna,Apophis,Elf Female,29780,
Derptastic7,,Elf Female,25841,
Sayuumou,Dementia,Human Female,64603,1000059;19407;1000059
Lucyyarou,Fillia,Elf Female,23015,
Dkangel87,,Human Male,2894,
Cowfeeshop,Sundew,Human Female,35869,
Ponape,Severe,Elf Female,56233,
Nemugaki,Vulneq,Elf Female,100,
Xenon,Endowed,Human Male,64304,
Brandonn,Lost,Human Male,67372,
Sadwysx,,Giant Male,10496,
Clownezz,Godhand,Human Female,31383,
MOMOdesu,,Human Female,0,
Llewellyn,NIKKE,Human Male,75887,
Gateonine,Volkite,Human Male,68590,
Bolvi,Delirium,Elf Male,60431,
Senpain,Cavaliere,Giant Female,44533,
Nenmclovin,Optimates,Elf Male,42089,
Dovahkulaas,,Human Female,0,
Robbadobba,Cavaliere,Human Male,41425,
Daonne,Shenanigans,Human Female,21997,
Alkyione,,Human Male,22788,
Sophisma,BUFF,Elf Female,83500,
Willbel,,Elf Female,9170,
Shevel,,Human Female,42196,
kyo1,Kitsunee,Elf Male,52422,
Holywater,Felons,Human Male,49,
driv3+Alexina,Abaddon,Elf Female,26107,
Giantguards,Audicia,Giant Male,52602,
Zedro,Goodmorning,Human Male,50322,
Bics,Drop,Elf Female,28855,
Calentyr,Niflhel,Human Female,158289,
Accurateshot,Dualshock,Elf Female,78488,
Necronekoro,Visions,Human Female,104456,19407;1230039;19407;19407
Ann003,Alliances,Human Female,2030,
Ghos,,Giant Female,52966,
Bluelvy,Magic,Human Female,20268,
Teacup,Chai,Human Female,49220,
rustblade,Visions,Human Male,27251,
Mutsudong,BADLuck,Human Male,64226,
Yont,Transcend,Human Male,62423,
Phantomace,,Human Male,65364,
buutybandit,Faetality,Giant Male,32,
Enatigress,Visions,Human Female,70288,
Philisophio,Rainconquest,Elf Female,27666,
Kitanuki,Hershey,Human Male,79262,1270029;19406;3100003
Kerwyl,Unsure,Human Male,71606,
Lexipuppy,Adventsouls,Elf Female,101087,
xcherryxd,Spookybunnys,Elf Female,21782,
Zelo,,Human Female,40219,
Momomocha,Boundaries,Elf Female,83124,
collboy233,thorny,Human Male,21457,
Tophergasm,Elysiae,Human Male,33174,
Fox,Sakura,Human Female,93498,
Nafrayuu,Severe,Elf Male,50632,
Farasole+Alexina,,Human Male,34373,
Luxnova,Optimates,Elf Female,115623,
Denascite+Alexina,,Human Male,55033,
Astranaea,EXAM,Human Male,41614,
Lunethstar,Chai,Human Female,69514,
